color_category,pixel_count,percentage
Black,111296,71.12
Brown,14560,9.3
Green,10994,7.02
Yellow,9590,6.13
Red,6299,4.02
Orange,2435,1.56
Pink,727,0.46
Gray,533,0.34
Purple,62,0.04
White,0,0.0
Blue,4,0.0
