color_category,pixel_count,percentage
Gray,33118,21.16
Blue,32910,21.03
Black,31921,20.4
Yellow,28642,18.3
Green,25656,16.39
White,2371,1.52
Brown,1868,1.19
Orange,10,0.01
Red,4,0.0
Purple,0,0.0
Pink,0,0.0
