color_category,pixel_count,percentage
Black,50286,32.13
Red,30136,19.26
Green,22592,14.44
Blue,21554,13.77
Gray,10304,6.58
Yellow,9823,6.28
Orange,5276,3.37
Brown,3204,2.05
Pink,2692,1.72
Purple,631,0.4
White,2,0.0
